title,author,lent_by,lent_since,lent_times,year,catalogued,location,excerpt
Perilous Saga of the Dungeon Dimensions,Principal Witch Nicholas Lane,Jerry Matthews,year 0291 in the 6th month,8,The year of Patrician's Eyebrow,year 0524 in the 12th month,Dungeon Dimensions: top shelve. 9m from the start,Bar each general smile board significant.
Spectacular Fantasy of the Patrician,Principal Witch Paul Benjamin,,,5,The year of Prawn,year 0511 in the 7th month,Tower of Art: middle shelve. 5m from the start,We interview mission course low throw have budget.
Enchanted Fable of the Lancre,Senior Guildmaster Nathan Hall,Aaron Mcknight,year 0959 in the 11th month,3,The 12th year after Amazing Maurice,year 0977 in the 7th month,Restricted Section: middle shelve. 5m from the end,Student will thing agreement reach practice.
Delightful Myth of the Death,Ashley Martinez,Kristina Mcdonald,unknown,7,The 7th year after Librarian's Wrath,year 0898 in the 7th month,Restricted Section: bottom shelve. 14m from the start,Party general investment line whole such.
Phantasmal Escapade of the Lancre,Senior Guildmaster Janice Anderson,Nancy Santos,year 0606 in the 7th month,2,The 9th year after Octarine Sunset,year 0979 in the 5th month,Dungeon Dimensions: top shelve. 2m from the end,They again last individual change example listen.
Spectacular Parable of the Unseen University,Mastermagician Ricardo Barnes,Felicia Richmond,year -129 in the 10th month,9,The 6th year after Topsy-Turvy Times,year 0127 in the 9th month,Mended Drum: top shelve. 3m from the start,Key provide raise eight teacher company.
Fanciful Exploit in Ankh-Morpork,Professor Kristen Watson,,,7,The 7th year after Luggage,year 0295 in the 6th month,Mended Drum: middle shelve. 8m from the end,Along white American argue explain house close ability.
Illustrious Chronicle of the Librarian,Chief Scrivener Richard Benjamin,,,7,The 8th year after Sentient Luggage,year 0940 in the 3rd month,Great Hall: bottom shelve. 3m from the end,Order include long argue.
Frightening Saga of Magic,Eminent Thief Melissa Sanders,,,8,The 13th year after Assassin's Guild,year -047 in the 10th month,Great Hall: bottom shelve. 4m from the end,Player reality economic draw machine.
Wondrous Saga of the Counterweight Continent,Imperial Assassin John Robinson MD,,,42,The 11th year after Opera House Ghost,year -411 in the 7th month,Mended Drum: top shelve. 2m from the start,Allow million air contain man.
Ridiculous Chronicle of the Wizards,Pamela Weaver,,,1,The 10th year after Lancre Coven,year -441 in the 7th month,Dungeon Dimensions: top shelve. 12m from the start,Physical poor property perhaps.
Bizarre Illusion of the Unseen University,Supreme Archchancellor Adam Cruz,Valerie Richmond,year -406 in the 4th month,4,The 10th year after Cabbage,year -353 in the 7th month,Dungeon Dimensions: middle shelve. 3m from the end,Medical conference total particular way help away other.
Bizarre Chronicle of the Nac Mac Feegle,Foremost Patrician George Galloway,Anna Foster,year -167 in the 7th month,8,The 3rd year after Silver Horde,year -042 in the 1st month,Great Hall: bottom shelve. 5m from the start,Keep along behind.
Hilarious Odyssey in Ankh-Morpork,High Wizard of Unseen Daniel Kirby,,,1,The year of Fruitbat,year 0511 in the 7th month,Mended Drum: bottom shelve. 1m from the end,Very garden son contain try.
Mysterious Myth of the Wizards,Grandmaster of Guilds Kelly Perez,,,8,The 10th year after Assassin's Guild,year 0616 in the 3rd month,Mended Drum: middle shelve. 13m from the end,Red under career about few.
Comical Parable of the Librarian,Eminent Thief Christopher Zavala,William Clarke,year -301 in the 7th month,42,The 5th year after Howondaland Expedition,year -234 in the 2nd month,Restricted Section: bottom shelve. 13m from the start,Wife appear half improve send wonder.
Hilarious Yarn of the Wizards,Senior Guildmaster Stephanie Phillips,,,3,The 7th year after Seamstress's Guild,year 0881 in the 3rd month,Restricted Section: bottom shelve. 8m from the end,Kitchen name read another issue.
Dreadful Chronicle of the Counterweight Continent,Dr. Kelly Howard MD,,,9,The 6th year after Hogswatch Miracle,year 0669 in the 9th month,Mended Drum: top shelve. 11m from the start,Hold then around.
Mysterious Lore of the Librarian,Imperial Assassin Paige Sanders,,,4,The 8th year after Librarian's Wrath,year -427 in the 7th month,Restricted Section: bottom shelve. 14m from the start,National fish suffer stay upon eight several sometimes.
Delightful Saga of the Agatean Empire,Lead Alchemist Stephen Harrison,,,6,The 6th year after Silver Horde,year 0443 in the 12th month,Great Hall: middle shelve. 12m from the start,Fine lot hold modern at.
Eccentric Lore of the Librarian,High Wizard of Unseen Erin Maldonado,,,0,The 2nd year after Imp-powered Devices,year 0806 in the 5th month,Restricted Section: middle shelve. 15m from the end,Key early know American law.
Mysterious Odyssey of the Rincewind,Chief Scrivener April Garza,,,3,The 13th year after Howondaland Expedition,unknown,Dungeon Dimensions: bottom shelve. 1m from the end,Give traditional center common.
Unbelievable Illusion of the Lancre,Kimberly Garcia,,,3,The 13th year after Lancre Coven,year -227 in the 3rd month,Tower of Art: bottom shelve. 10m from the end,Book take middle near.
Spectacular Mystery of the Lancre,Mastermagician Maureen Smith,Jill Warren,year 0363 in the 7th month,4,The 10th year after Amazing Maurice,year 0854 in the 11th month,Great Hall: top shelve. 3m from the end,Weight wear bag.
Astounding Anecdote of the Agatean Empire,Lead Alchemist Tanya Anderson,,,7,The 11th year after Magic Bananas,year -457 in the 8th month,Great Hall: middle shelve. 9m from the end,Face local speak note up another.
Curious Episode of the Unseen University,Eminent Thief Robert Stewart,Ashley Johnson,year -179 in the 5th month,9,The 1st year after Talking Dog,year 0086 in the 1st month,Mended Drum: top shelve. 12m from the end,Gun pick someone sister phone north clearly.
Bewildering Folklore of the Golems,Grandmaster of Guilds Sherri Greer,,,4,The 1st year after Lancre Coven,year 0608 in the 6th month,Tower of Art: middle shelve. 1m from the start,Current budget government staff nothing.
Stupendous Chronicle of the Clacks,Eminent Thief Jason Richardson,William Keller,year 0232 in the 7th month,8,The 4th year after Tin Trunk,year 0650 in the 6th month,Great Hall: top shelve. 5m from the end,Matter to down officer beat agency.
Glorious Saga of the Hogfather,Imperial Assassin Jared Flores,Michael Smith,year -336 in the 9th month,5,The 2nd year after Seamstress's Secrets,year 0059 in the 7th month,Restricted Section: top shelve. 10m from the end,Color available what loss guy.
Incredible Fantasy of the Death,Foremost Patrician Joshua Massey,,,6,The 14th year after Talking Dog,year 0173 in the 12th month,Tower of Art: middle shelve. 10m from the end,Material carry article information property fight money say.
Stupendous Anecdote of the Lancre,Professor Anthony Silva,Jessica Vega,year -471 in the 7th month,4,The 14th year after Hogswatch Miracle,year -420 in the 2nd month,Tower of Art: bottom shelve. 4m from the end,As church front one increase time.
Improbable Epic of the Lancre,Ryan Nelson,,,1,The 9th year after Assassin's Guild,year 0058 in the 4th month,Mended Drum: middle shelve. 12m from the start,Onto election chance reduce sometimes positive manage long.
Stupendous Journey of the Unseen University,Principal Witch Aaron Oconnor,,,2,The 7th year after Imp-powered Devices,year -137 in the 7th month,Great Hall: top shelve. 6m from the end,Else investment good significant but meet.
Bewitching Myth of the Rincewind,Supreme Archchancellor Dale Schwartz,David Lucas,year 0335 in the 7th month,6,The 12th year after Sentient Luggage,year 0497 in the 3rd month,Great Hall: bottom shelve. 2m from the start,Well trial call item have.
Bewitching Journey of the Nac Mac Feegle,Chief Scrivener Sharon Atkins,Stacy Lawrence,year 0188 in the 5th month,2,The 11th year after Squid,year 0341 in the 7th month,Dungeon Dimensions: middle shelve. 12m from the end,Most drug drop left operation training color.
Unimaginable Exploit of the Trolls,Foremost Patrician Michael Johnson,,,42,The 1st year after Tin Trunk,year 0214 in the 8th month,Dungeon Dimensions: middle shelve. 5m from the end,Perhaps yard kitchen specific amount could.
Delightful Saga of the Patrician,Grandmaster of Guilds John Newton,Jeff Bruce PhD,year -311 in the 6th month,42,The 9th year after Luggage,year -237 in the 2nd month,Mended Drum: middle shelve. 7m from the start,Health politics first east foreign record hope professor.
Bizarre Epic of the Death,Foremost Patrician Janet Fuller,Terri Mendez,year 0193 in the 8th month,5,The year of Topsy-Turvy Times,year 0860 in the 7th month,Restricted Section: middle shelve. 15m from the start,Ground within campaign.
Illustrious Saga of the Agatean Empire,Senior Guildmaster Jessica Sparks,,,3,The 6th year after Opera House Ghost,year -440 in the 11th month,Tower of Art: middle shelve. 6m from the end,Commercial necessary official.
Enigmatic Tale of the Rincewind,High Wizard of Unseen Molly Evans,Gina Henderson,year 0817 in the 2nd month,7,The 9th year after Crystal Goblins,year 0944 in the 4th month,Great Hall: bottom shelve. 3m from the end,Stay wide growth usually ability blood unit.
Mysterious Anecdote of the Golems,High Wizard of Unseen Cindy Ramirez,David Hammond,year -247 in the 7th month,9,The 14th year after Octarine Sunset,year -240 in the 4th month,Great Hall: middle shelve. 2m from the start,Fact Mrs finally learn hand.
Fantastical Lore of the Librarian,Chief Scrivener Tiffany Edwards,Sonya Hansen,year -494 in the 7th month,3,The 4th year after Sentient Luggage,year -490 in the 2nd month,Great Hall: bottom shelve. 1m from the end,Our they between develop range red rise arm.
Bizarre Revelation of the Unseen University,Steve Davis,Chris Maxwell,year -069 in the 7th month,2,The 3rd year after Magic Bananas,year 0791 in the 8th month,Restricted Section: top shelve. 13m from the start,Particular place leader candidate and.
Bewitching Anecdote of the Lancre,Foremost Patrician Amanda Greene,,,3,The 1st year after Cabbage,year 0907 in the 6th month,Restricted Section: bottom shelve. 5m from the end,Suffer season usually mind also.
Comical Illusion of the Rincewind,Senior Guildmaster Lisa Richardson,Nicholas Hale,year 0011 in the 12th month,4,The 4th year after Sentient Luggage,year 0688 in the 8th month,Mended Drum: middle shelve. 9m from the start,Gas approach perform certain activity exactly woman.
Comical Myth of the Agatean Empire,High Wizard of Unseen Kathy Smith,,,1,The 1st year after Assassin's Guild,year 0374 in the 11th month,Dungeon Dimensions: middle shelve. 14m from the end,Life threat activity product loss simple.
Glorious Exploit of the Counterweight Continent,Grandmaster of Guilds Abigail Bradley,,,3,The 9th year after Lancre Coven,year 0835 in the 2nd month,Tower of Art: top shelve. 12m from the start,Significant firm activity physical.
Remarkable Journey of the Counterweight Continent,High Wizard of Unseen Mark Davis,,,9,The 8th year after Magic Bananas,year 0022 in the 2nd month,Great Hall: bottom shelve. 13m from the end,Sometimes carry theory garden garden another major.
Remarkable Saga of the Rincewind,Supreme Archchancellor Carl Murillo,,,7,The 13th year after Invisible College,year 0652 in the 3rd month,Tower of Art: middle shelve. 13m from the start,Woman effect decide long development.
Fanciful Furlough of the Nac Mac Feegle,Senior Guildmaster Cheryl Sanchez,,,8,The 10th year after Sentient Luggage,year 0666 in the 4th month,Restricted Section: middle shelve. 12m from the start,Chance quickly yes whatever left lead.
Spectacular Folklore of the Unseen University,Eminent Thief Ruth Anderson,,,3,The 1st year after Squid,year 0784 in the 9th month,Mended Drum: top shelve. 14m from the start,Member war response.
Mysterious Anecdote of the Death,Principal Witch Michael Hickman,,,9,The year of Sentient Luggage,year 0833 in the 2nd month,Mended Drum: top shelve. 2m from the start,Size game cup.
Improbable Mystery of the Counterweight Continent,Susan Bradley,Tammy Marshall,year 0196 in the 3rd month,0,The 6th year after Prawn,year 0543 in the 5th month,Tower of Art: bottom shelve. 5m from the start,Red memory treat finally.
Majestic Saga of Magic,Charles Mercer,,,9,The 12th year after Prawn,year -127 in the 7th month,Mended Drum: bottom shelve. 3m from the start,Well picture new computer meet next involve.
Improbable Exploit of the Clacks,High Wizard of Unseen Juan Moreno,Laura Wright,year -458 in the 3rd month,8,The year of Mended Drum,year -304 in the 10th month,Mended Drum: top shelve. 11m from the end,Trouble federal another care fall property.
Puzzling Allegory of the City Watch,Foremost Patrician Shawn Graham,Justin Gomez,year -317 in the 1st month,9,The 8th year after Cabbage,year -288 in the 7th month,Dungeon Dimensions: top shelve. 10m from the end,Citizen behind mother evidence ago author throw.
Unbelievable Saga of the Clacks,Chief Scrivener Michael Terrell,Carolyn Barry,year -134 in the 3rd month,2,The 9th year after Patrician's Eyebrow,year 0470 in the 7th month,Great Hall: middle shelve. 3m from the end,Until age leave financial child among.
Glorious Parable of the Golems,Imperial Assassin Margaret Dean,,,1,The 7th year after Librarian's Wrath,year 0114 in the 7th month,Great Hall: middle shelve. 7m from the end,Somebody firm tax.
Enigmatic Narrative of the Rincewind,Stephanie Gates,Sara Kemp,year 0043 in the 7th month,9,The 10th year after Squid,year 0309 in the 5th month,Great Hall: top shelve. 11m from the end,Method job other country out her.
